(u'deny', 0.4513531238873605)
(u'twin', 0.7231987462629632)
(u'camp', 0.7232350712193675)
(u'colours', 0.7236284425498687)
(u'creativity', 0.7237211198010446)
(u'downtown', 0.723785068417051)
(u'organic', 0.7238526388208613)
(u'group', 0.7238688102009904)
(u'adventures', 0.723965956552949)
(u'interest', 0.7241585098559596)
(u'shelves', 0.724273999672505)
(u'ohio', 0.7243132938451605)
(u'efforts', 0.7245756961929788)
(u'schools', 0.7246398271515335)
(u'sundayfunday', 0.7247814274777159)
(u'consumption', 0.7249686146505708)
(u'launch', 0.7251857906105987)
(u'click', 0.725211386789539)
(u'recap', 0.725246654445088)
(u'town', 0.7253278853714201)
(u'throwback', 0.7254300797799861)
(u'biofuel', 0.7256311437778181)
(u'brewery', 0.7257381243943236)
(u'jamaica', 0.7257572934032581)
(u'represent', 0.7259958725255071)
(u'glutenfree', 0.7262900974998542)
(u'marina', 0.7263154406464181)
(u'mobile', 0.726330206676896)
(u'latepost', 0.7263776829662093)
(u'district', 0.7264684298650343)
(u'goat', 0.7265600366502478)
(u'protection', 0.7265657908621737)
(u'decline', 0.7266228071624846)
(u'pittsburgh', 0.7266402087249647)
(u'hawaii', 0.7268825358251509)
(u'groupon', 0.7269410882180556)
(u'bargain', 0.7270324899367338)
(u'wines', 0.727218522071678)
(u'puppy', 0.7274476945775593)
(u'tgif', 0.7274580654142265)
(u'street', 0.7275150359587798)
(u'yahoo', 0.7275239243601653)
(u'republic', 0.7276886537858499)
(u'holiday', 0.7276998066666398)
(u'nutrition', 0.7278055385269511)
(u'junction', 0.7278376839462598)
(u'gmos', 0.7279212347122698)
(u'record', 0.7279682672684733)
(u'perfection', 0.7283918281247588)
(u'easy', 0.7284959593529916)
(u'corp', 0.7285168109176895)
(u'mixer', 0.7285654311742497)
(u'corporate', 0.7289478194110597)
(u'truth', 0.7290125020554937)
(u'spain', 0.7291352795478887)
(u'reuters', 0.7292628990188567)
(u'threat', 0.7292756654156273)
(u'pics', 0.7293383054284955)
(u'exhibition', 0.7295583074632501)
(u'cleveland', 0.7296010991895272)
(u'decor', 0.729711565004809)
(u'norway', 0.7297681916047883)
(u'decoration', 0.7297813951153389)
(u'scoopit', 0.7298289580772934)
(u'healthyeating', 0.7298570798807723)
(u'ukraine', 0.7298642749422045)
(u'malaysiafoodporn', 0.7298966765663122)
(u'featured', 0.729976973883076)
(u'stadium', 0.7300829314775834)
(u'learn', 0.7301616239063116)
(u'myths', 0.7301829829431955)
(u'customers', 0.7302395445807669)
(u'scheme', 0.7306797387712771)
(u'adelaide', 0.730763706794351)
(u'creations', 0.7307718758851438)
(u'diy', 0.7308313015507106)
(u'tours', 0.7308397447973707)
(u'august', 0.7308524120873227)
(u'milano', 0.7308689313653784)
(u'ethanol', 0.7308912686228748)
(u'nyt', 0.7309003264217296)
(u'bristol', 0.7309397173821163)
(u'projects', 0.7311422081351923)
(u'union', 0.7311847251113008)
(u'books', 0.7312730838928481)
(u'pictured', 0.7313377753758321)
(u'riverside', 0.731359133994797)
(u'local', 0.7313690012106285)
(u'greece', 0.7314251791134955)
(u'goodies', 0.7314366801908961)
(u'spices', 0.7315708989951847)
(u'midtown', 0.7317548769463956)
(u'tutorial', 0.731942439624871)
(u'friendly', 0.731947925253267)
(u'alternative', 0.7320377980902527)
(u'residence', 0.7320848838490842)
(u'edinburgh', 0.7322531830261116)
(u'page', 0.732328486500969)
(u'wedding', 0.7323409566441816)
(u'vote', 0.7323827177689122)
(u'culinary', 0.732415723777553)
(u'views', 0.73254857352757)
(u'focus', 0.7325766223204078)
(u'max', 0.732750409836919)
(u'camping', 0.7328931549041974)
(u'create', 0.733051466355085)
(u'museum', 0.7332709294452253)
(u'clip', 0.7335614138478525)
(u'mall', 0.7336692316899505)
(u'research', 0.7336872509827732)
(u'instagram', 0.7337435897316984)
(u'category', 0.7337576630828818)
(u'childhood', 0.733839609119988)
(u'herald', 0.7339339636558277)
(u'included', 0.7339574038741346)
(u'courtesy', 0.7340135080001241)
(u'crops', 0.734086530928325)
(u'returns', 0.7341527089886979)
(u'yumyum', 0.7342404440096154)
(u'pages', 0.734349000733357)
(u'logic', 0.7344719966661521)
(u'cornwall', 0.7345285100435123)
(u'ottawa', 0.7345459828188549)
(u'kent', 0.7346924338335208)
(u'awesome', 0.734793172244812)
(u'sale', 0.7348880937474823)
(u'foods', 0.7349063962326859)
(u'appetizers', 0.7349934135349591)
(u'traveling', 0.7351588111475745)
(u'opportunity', 0.7358153998983608)
(u'choice', 0.7360065081557994)
(u'ireland', 0.7360265382636999)
(u'chemicals', 0.7360436763995821)
(u'presentation', 0.7361537153025781)
(u'parade', 0.7361755237884592)
(u'summer', 0.736190533655891)
(u'syria', 0.7362265836349366)
(u'poultry', 0.7363814158045185)
(u'victory', 0.736574210193463)
(u'worldwide', 0.7366475606782702)
(u'usa', 0.7367042641516702)
(u'kenya', 0.7367418745252153)
(u'fundraiser', 0.7367473136443826)
(u'omnomnom', 0.7368832540108452)
(u'stores', 0.7372792521156749)
(u'recall', 0.7373551039636971)
(u'author', 0.7373838123357908)
(u'story', 0.7373863383517527)
(u'underground', 0.7374457037384272)
(u'vouchers', 0.7376151438138985)
(u'original', 0.7376693274395456)
(u'sustainable', 0.7376866708218233)
(u'avoid', 0.7377409480724251)
(u'redgage', 0.7380023473942892)
(u'updated', 0.7382178850269628)
(u'property', 0.7382991433821923)
(u'june', 0.7384585050032609)
(u'display', 0.7385683590400755)
(u'tax', 0.7387820430689117)
(u'initiative', 0.7388145002196428)
(u'photographer', 0.7389658497049232)
(u'dallas', 0.739242711021305)
(u'mix', 0.739248855057884)
(u'tour', 0.7392758995560335)
(u'kids', 0.7393715626652017)
(u'discounts', 0.7394007309558085)
(u'rose', 0.7394864866863766)
(u'yyc', 0.7395512592182185)
(u'california', 0.7395700579998576)
(u'training', 0.7396182872232084)
(u'demo', 0.7397006288369313)
(u'hat', 0.7397778639870412)
(u'ship', 0.739815564021905)
(u'resort', 0.739880609535362)
(u'fathersday', 0.7399612259844749)
(u'articles', 0.7402442618151888)
(u'natural', 0.7402821403373385)
(u'column', 0.7409261419416319)
(u'future', 0.7411974938080528)
(u'entertainment', 0.741211273164827)
(u'germany', 0.7412987010009325)
(u'menus', 0.7413080197099204)
(u'pizzeria', 0.7414256607201364)
(u'supermarket', 0.7414638777861354)
(u'drawing', 0.7414912769685194)
(u'eatery', 0.7415514045748365)
(u'urban', 0.7416906655825021)
(u'race', 0.7418182406306197)
(u'standard', 0.7421549536391593)
